pattern_id,pattern_name,pattern_subheading,pattern_company,pattern_number,pattern_thumbnail,pattern_size
112,Trichosurus vulpecula,Action|Adventure|Western,Church & Dwight Canada Corp.,112,http://dummyimage.com/131x100.png/cc0000/ffffff,M
113,Coluber constrictor,Children|Comedy|Drama,"Actavis Pharma, Inc.",113,http://dummyimage.com/198x100.png/ff4444/ffffff,XS
114,Taurotagus oryx,Drama|Horror|Thriller,Washington Homeopathic Products,114,http://dummyimage.com/133x100.png/cc0000/ffffff,XS
115,Hystrix cristata,Comedy,H.J. Harkins Company,115,http://dummyimage.com/226x100.png/dddddd/000000,XS
116,Cebus apella,Comedy|Drama,EQUALINE (SuperValu),116,http://dummyimage.com/180x100.png/5fa2dd/ffffff,S
117,Phascogale calura,Adventure|Animation|Children|Fantasy|Musical|Romance,"JJohnson & Johnson Consumer Products Company, Division of Johnson & Johnson Consumer Companies, Inc.",117,http://dummyimage.com/177x100.png/dddddd/000000,XL
118,Dendrohyrax brucel,Comedy|Drama|Romance,Teva Pharmaceuticals USA Inc,118,http://dummyimage.com/152x100.png/ff4444/ffffff,XL
119,Cynictis penicillata,Documentary,Jafra Cosmetics International Inc,119,http://dummyimage.com/185x100.png/dddddd/000000,S
120,unavailable,Comedy|Drama,"Jets, Sets, & Elephants Beauty Corp.",120,http://dummyimage.com/243x100.png/cc0000/ffffff,L
121,Macropus agilis,Comedy,Boots Retail USA Inc,121,http://dummyimage.com/119x100.png/dddddd/000000,XS
122,Varanus salvator,Horror,Neutrogena Corporation,122,http://dummyimage.com/121x100.png/ff4444/ffffff,L
123,Bettongia penicillata,Crime|Documentary,Colgate-Palmolive Company,123,http://dummyimage.com/248x100.png/ff4444/ffffff,L
124,Ceratotherium simum,Documentary,Mylan Pharmaceuticals Inc.,124,http://dummyimage.com/131x100.png/cc0000/ffffff,XL
125,Canis dingo,Drama,Blossom Pharmaceuticals,125,http://dummyimage.com/126x100.png/cc0000/ffffff,L
126,Spilogale gracilis,Action|Animation|Children|Sci-Fi,"ALK-Abello, Inc.",126,http://dummyimage.com/237x100.png/cc0000/ffffff,XL
127,Martes americana,Comedy|Sci-Fi,AlpinAire Healthcare,127,http://dummyimage.com/182x100.png/5fa2dd/ffffff,M
128,Fratercula corniculata,Drama,Cardinal Health,128,http://dummyimage.com/185x100.png/dddddd/000000,XS
129,Bradypus tridactylus,Comedy|Drama|Romance,"Allergy Laboratories, Inc.",129,http://dummyimage.com/106x100.png/dddddd/000000,L
130,Vulpes chama,Drama|Romance,B. Braun Medical Inc.,130,http://dummyimage.com/119x100.png/dddddd/000000,M
131,Columba palumbus,Documentary,Eli Lilly and Company,131,http://dummyimage.com/214x100.png/dddddd/000000,L
132,Ramphastos tucanus,Action|Drama,"ALK-Abello, Inc.",132,http://dummyimage.com/242x100.png/5fa2dd/ffffff,L
133,Trichosurus vulpecula,Crime|Drama|Mystery|Thriller,"Good Sense (Geiss, Destin & Dunn, Inc.)",133,http://dummyimage.com/233x100.png/ff4444/ffffff,S
134,Canis mesomelas,Action|Drama,Bryant Ranch Prepack,134,http://dummyimage.com/160x100.png/5fa2dd/ffffff,XS
135,Bubo virginianus,Drama,Mallinckrodt Inc.,135,http://dummyimage.com/244x100.png/ff4444/ffffff,XL
136,Mycteria leucocephala,Drama,Sun Pharma Global FZE,136,http://dummyimage.com/181x100.png/ff4444/ffffff,S
137,Coluber constrictor foxii,Documentary,Amerisource Bergen,137,http://dummyimage.com/137x100.png/5fa2dd/ffffff,2XL
138,Canis lupus baileyi,Drama|Romance|War,"NSE Products, Inc.",138,http://dummyimage.com/112x100.png/5fa2dd/ffffff,XS
139,Paroaria gularis,Children|Romance,General Air Service & Supply Co,139,http://dummyimage.com/226x100.png/5fa2dd/ffffff,2XL
140,Naja nivea,Comedy|Drama,"Mallinckrodt, Inc.",140,http://dummyimage.com/198x100.png/cc0000/ffffff,M
141,Castor canadensis,Comedy|Drama,Natural Health Supply,141,http://dummyimage.com/176x100.png/ff4444/ffffff,XS
142,Cordylus giganteus,Crime|Drama,"Dolgencorp, LLC",142,http://dummyimage.com/185x100.png/dddddd/000000,2XL
143,Libellula quadrimaculata,Action|Comedy|Crime|Drama,WALGREEN CO,143,http://dummyimage.com/135x100.png/cc0000/ffffff,L
144,Sylvilagus floridanus,Thriller,Uriel Pharmacy Inc.,144,http://dummyimage.com/123x100.png/5fa2dd/ffffff,2XL
145,Neotoma sp.,Crime|Sci-Fi,State of Florida DOH Central Pharmacy,145,http://dummyimage.com/103x100.png/cc0000/ffffff,M
146,Panthera pardus,Drama,Novartis Pharmaceuticals Corporation,146,http://dummyimage.com/112x100.png/cc0000/ffffff,M
147,Corallus hortulanus cooki,Comedy,Jubilant HollisterStier LLC,147,http://dummyimage.com/225x100.png/dddddd/000000,S
148,Orcinus orca,Drama,"Nelco Laboratories, Inc.",148,http://dummyimage.com/104x100.png/5fa2dd/ffffff,XS
149,Dasypus septemcincus,Drama,Amedra Pharmaceuticals LLC,149,http://dummyimage.com/192x100.png/ff4444/ffffff,M
150,Mycteria ibis,(no genres listed),"PD-Rx Pharmaceuticals, Inc.",150,http://dummyimage.com/195x100.png/cc0000/ffffff,XS
151,Taurotagus oryx,Comedy,Publix Super Markets Inc,151,http://dummyimage.com/141x100.png/ff4444/ffffff,XS
152,Egretta thula,Drama,"Dolgencorp, LLC",152,http://dummyimage.com/187x100.png/ff4444/ffffff,XS
153,Antechinus flavipes,Comedy,Forces of Nature,153,http://dummyimage.com/157x100.png/ff4444/ffffff,XL
154,Mazama gouazoubira,Drama,Topco Associates LLC,154,http://dummyimage.com/141x100.png/cc0000/ffffff,M
155,Aonyx capensis,Animation|Comedy|Sci-Fi,Mylan Pharmaceuticals Inc.,155,http://dummyimage.com/183x100.png/cc0000/ffffff,L
156,Tamiasciurus hudsonicus,Action|Comedy|Romance,"Asclemed USA, Inc.",156,http://dummyimage.com/108x100.png/cc0000/ffffff,XL
157,Rangifer tarandus,Drama|Romance,Sandoz Inc,157,http://dummyimage.com/159x100.png/5fa2dd/ffffff,3XL
158,Varanus albigularis,Crime|Mystery|Thriller,Apotheca Company,158,http://dummyimage.com/167x100.png/5fa2dd/ffffff,L
159,Eubalaena australis,Drama,AvPAK,159,http://dummyimage.com/180x100.png/5fa2dd/ffffff,M
160,Isoodon obesulus,Adventure|Drama|Romance,"Elizabeth Arden, Inc",160,http://dummyimage.com/177x100.png/5fa2dd/ffffff,S
161,Pelecans onocratalus,Animation|Children|Comedy,REMEDYREPACK INC.,161,http://dummyimage.com/120x100.png/dddddd/000000,XS
162,Papilio canadensis,Drama|War,Swiss-American Products,162,http://dummyimage.com/204x100.png/cc0000/ffffff,3XL
163,Manouria emys,Adventure|Animation|Children|Comedy|Fantasy,Pharmacia and Upjohn Company,163,http://dummyimage.com/219x100.png/5fa2dd/ffffff,S
164,Nasua nasua,Comedy,"Nelco Laboratories, Inc.",164,http://dummyimage.com/122x100.png/ff4444/ffffff,L
165,Bettongia penicillata,Drama,HyVee Inc,165,http://dummyimage.com/137x100.png/dddddd/000000,XS
166,Macropus rufogriseus,Drama,Efficient Laboratories Inc,166,http://dummyimage.com/120x100.png/cc0000/ffffff,XL
167,Graspus graspus,Horror,American Health Packaging,167,http://dummyimage.com/107x100.png/5fa2dd/ffffff,2XL
168,Grus rubicundus,Action|Children|Sci-Fi|IMAX,Topco Associates LLC,168,http://dummyimage.com/120x100.png/dddddd/000000,M
169,Speotyte cuniculata,Drama,"Melaleuca, Inc.",169,http://dummyimage.com/203x100.png/ff4444/ffffff,XS
170,Lasiorhinus latifrons,Drama,"Fresenius Kabi USA, LLC",170,http://dummyimage.com/203x100.png/cc0000/ffffff,XL
171,Lamprotornis nitens,Comedy|Musical,"Janssen Pharmaceuticals, Inc.",171,http://dummyimage.com/225x100.png/cc0000/ffffff,XS
172,Sylvicapra grimma,Thriller,Efficient Laboratories Inc.,172,http://dummyimage.com/115x100.png/dddddd/000000,3XL
173,Chionis alba,Comedy,Concept Laboratories,173,http://dummyimage.com/174x100.png/cc0000/ffffff,2XL
174,Heloderma horridum,Comedy|Romance,Rebel Distributors Corp,174,http://dummyimage.com/139x100.png/5fa2dd/ffffff,S
175,Macaca mulatta,Action|Adventure|Thriller,Merck Sharp & Dohme Corp.,175,http://dummyimage.com/102x100.png/ff4444/ffffff,2XL
176,Pavo cristatus,Drama,"Ventura International, Limited",176,http://dummyimage.com/209x100.png/ff4444/ffffff,L
177,Limosa haemastica,Animation|Mystery|Sci-Fi,Apotheca Company,177,http://dummyimage.com/162x100.png/ff4444/ffffff,2XL
178,Macaca fuscata,Drama|Film-Noir|Mystery,REMEDYREPACK INC.,178,http://dummyimage.com/194x100.png/ff4444/ffffff,M
179,Hymenolaimus malacorhynchus,Documentary,"Nelco Laboratories, Inc.",179,http://dummyimage.com/132x100.png/ff4444/ffffff,3XL
180,Hystrix cristata,Action|Adventure|Drama|Mystery|Thriller,Baxter Healthcare Corporation,180,http://dummyimage.com/168x100.png/5fa2dd/ffffff,XL
181,Agama sp.,Crime|Drama|Thriller,Uriel Pharmacy Inc,181,http://dummyimage.com/221x100.png/5fa2dd/ffffff,3XL
182,Tamiasciurus hudsonicus,Comedy,SUPERVALU INC.,182,http://dummyimage.com/204x100.png/cc0000/ffffff,XL
183,Phoenicopterus ruber,Horror|Thriller,Uriel Pharmacy Inc.,183,http://dummyimage.com/176x100.png/cc0000/ffffff,XS
184,Lamprotornis nitens,Drama,REMEDYREPACK INC.,184,http://dummyimage.com/183x100.png/cc0000/ffffff,L
185,Pelecanus occidentalis,Action|Thriller,Delta Brands Inc.,185,http://dummyimage.com/153x100.png/cc0000/ffffff,L
186,Ovis ammon,Comedy|Romance,"SDA Laboratories, Inc.",186,http://dummyimage.com/201x100.png/5fa2dd/ffffff,M
187,Nannopterum harrisi,Documentary|War,"Aphena Pharma Solutions - Tennessee, LLC",187,http://dummyimage.com/136x100.png/dddddd/000000,L
188,Phalacrocorax carbo,Adventure|Western,Sandoz Inc,188,http://dummyimage.com/171x100.png/dddddd/000000,M
189,Tockus erythrorhyncus,Action|Animation|Drama,"Midway Importing, Inc",189,http://dummyimage.com/110x100.png/ff4444/ffffff,XS
190,Hystrix indica,Comedy|Drama,PUREMEDY,190,http://dummyimage.com/102x100.png/cc0000/ffffff,XL
191,Uraeginthus bengalus,Crime|Drama|Romance,"Jiangsu Province JianErKang Medical Dressing Co. ,Ltd.",191,http://dummyimage.com/183x100.png/5fa2dd/ffffff,XL
192,Varanus sp.,Adventure,"NCS HealthCare of KY, Inc dba Vangard Labs",192,http://dummyimage.com/105x100.png/cc0000/ffffff,2XL
193,Limosa haemastica,Mystery,E. FOUGERA & CO. A division of Fougera Pharmaceuticals Inc.,193,http://dummyimage.com/182x100.png/5fa2dd/ffffff,XL
194,Larus dominicanus,Comedy,"Forest Laboratories, Inc.",194,http://dummyimage.com/238x100.png/cc0000/ffffff,XL
195,Certotrichas paena,Drama,Procter & Gamble Manufacturing Company,195,http://dummyimage.com/188x100.png/cc0000/ffffff,L
196,Ictonyx striatus,Documentary,Reckitt Benckiser LLC,196,http://dummyimage.com/157x100.png/ff4444/ffffff,XS
197,Cochlearius cochlearius,Fantasy|Horror,"ASSURED / DOLLAR TREE (Greenbrier International, Inc.)",197,http://dummyimage.com/176x100.png/cc0000/ffffff,XL
198,Physignathus cocincinus,Sci-Fi,"Ascend Laboratories, LLC",198,http://dummyimage.com/250x100.png/cc0000/ffffff,3XL
199,Francolinus coqui,Comedy,Ellen H Frankle MD Inc,199,http://dummyimage.com/117x100.png/dddddd/000000,S
200,Redunca redunca,Documentary,"H and P Industries, Inc. dba Triad Group",200,http://dummyimage.com/238x100.png/cc0000/ffffff,2XL
201,unavailable,Documentary,"HANLIM PHARM. CO., LTD.",201,http://dummyimage.com/124x100.png/dddddd/000000,XL
202,Corvus brachyrhynchos,Drama,"Cardinal Health 414, LLC",202,http://dummyimage.com/199x100.png/ff4444/ffffff,S
203,Larus dominicanus,Comedy,American Health Packaging,203,http://dummyimage.com/230x100.png/ff4444/ffffff,XS
204,Coluber constrictor,Comedy|Drama,Camber Pharmaceuticals Inc.,204,http://dummyimage.com/140x100.png/5fa2dd/ffffff,3XL
205,Myotis lucifugus,Animation|Children|Comedy|IMAX,AIRGAS-NORPAC INC.,205,http://dummyimage.com/208x100.png/cc0000/ffffff,L
206,Axis axis,Horror,"E.R. Squibb & Sons, L.L.C.",206,http://dummyimage.com/144x100.png/5fa2dd/ffffff,3XL
207,Tadorna tadorna,Horror,STI Pharma LLC,207,http://dummyimage.com/219x100.png/dddddd/000000,L
208,Merops nubicus,Crime|Drama,"Johnson & Johnson Consumer Products Company, Division of Johnson & Johnson Consumer Companies, Inc.",208,http://dummyimage.com/241x100.png/dddddd/000000,L
209,Procyon cancrivorus,Comedy|Documentary,"Teva Respiratory, LLC",209,http://dummyimage.com/149x100.png/5fa2dd/ffffff,2XL
210,Canis lupus,Comedy|Horror,"LG Household and Healthcare, Inc.",210,http://dummyimage.com/222x100.png/5fa2dd/ffffff,L
211,Dasypus novemcinctus,Comedy|Romance,"Physicians Total Care, Inc.",211,http://dummyimage.com/170x100.png/cc0000/ffffff,L
